# ATLAS
# ATLAS-1405-7875
# 0 lepton, 2-6 jets, etmiss
# sqrt(s) = 8 TeV
# int(L) = 20.3 fb^-1

Inputfile:
XSect:           4 fb
 Error:          0 fb
MCEvents:        100
 SumOfWeights:   100
 SumOfWeights2:  100
 NormEvents:     80.8752

Cut                       Sum_W  Sum_W2  Acc   N_Norm    
a.2jl_CR01_all            100    100     1     80.8752   
a.2jl_CR02_missETjetsPT   2      2       0.02  1.6175    
a.2jl_CR07_dphiMin2J3J    2      2       0.02  1.6175    
a.2jl_CR11_RHT            2      2       0.02  1.6175    
a.2jl_CR13_meffIncl       0      0       0     0         
b.2jm_CR01_all            100    100     1     80.8752   
b.2jm_CR02_missETjetsPT   2      2       0.02  1.6175    
b.2jm_CR07_dphiMin2J3J    2      2       0.02  1.6175    
b.2jm_CR11_RHT            1      1       0.01  0.808752  
b.2jm_CR13_meffIncl       0      0       0     0         
c.2jt_CR01_all            100    100     1     80.8752   
c.2jt_CR02_missETjetsPT   2      2       0.02  1.6175    
c.2jt_CR07_dphiMin2J3J    2      2       0.02  1.6175    
c.2jt_CR11_RHT            1      1       0.01  0.808752  
c.2jt_CR13_meffIncl       0      0       0     0         
d.2jW_CR01_all            100    100     1     80.8752   
d.2jW_CR02_missETjetsPT   2      2       0.02  1.6175    
d.2jW_CR07_dphiMin2J3J    2      2       0.02  1.6175    
d.2jW_CR09_unRW           0      0       0     0         
d.2jW_CR12_Rmeff          0      0       0     0         
d.2jW_CR13_meffIncl       0      0       0     0         
e.3j_CR01_all             100    100     1     80.8752   
e.3j_CR02_missETjetsPT    2      2       0.02  1.6175    
e.3j_CR03_PT3J            0      0       0     0         
e.3j_CR07_dphiMin2J3J     0      0       0     0         
e.3j_CR12_Rmeff           0      0       0     0         
e.3j_CR13_meffIncl        0      0       0     0         
f.4jl-_CR01_all           100    100     1     80.8752   
f.4jl-_CR02_missETjetsPT  2      2       0.02  1.6175    
f.4jl-_CR03_PT3J          0      0       0     0         
f.4jl-_CR04_PT4J          0      0       0     0         
f.4jl-_CR07_dphiMin2J3J   0      0       0     0         
f.4jl-_CR08_dphiMinMoreJ  0      0       0     0         
f.4jl-_CR11_RHT           0      0       0     0         
f.4jl-_CR13_meffIncl      0      0       0     0         
g.4jl_CR01_all            100    100     1     80.8752   
g.4jl_CR02_missETjetsPT   2      2       0.02  1.6175    
g.4jl_CR03_PT3J           0      0       0     0         
